名称,指定者,声明,NOTE,类/接口,抛出,
replaceAll,,public String replaceAll(String replacement),"替换模式与给定替换字符串相匹配的输入序列的每个子序列。 
此方法首先重置匹配器。然后，它将扫描输入序列以查找该模式的匹配项。不属于任何匹配的字符被直接追加到结果字符串；在结果中每个匹配都将被替换字符串所替换。替换字符串可能包含到已捕获子序列的引用，如在 appendReplacement 方法中一样。 

注意，在替换字符串中使用反斜线 (\) 和美元符号 ($) 可能导致与作为字面值替换字符串时所产生的结果不同。美元符号可视为到如上所述已捕获子序列的引用，反斜线可用于转义替换字符串中的字面值字符。 

在给定正则表达式 a*b、输入 ""aabfooaabfooabfoob"" 和替换字符串 ""-"" 的情况下，为该表达式针对匹配器调用此方法将产生字符串 ""-foo-foo-foo-""。 

调用此方法将更改此匹配器的状态。如果在将来的匹配操作中使用该匹配器，则应该首先重置它。
",Matcher,,
replaceFirst,,public String replaceFirst(String replacement),"替换模式与给定替换字符串匹配的输入序列的第一个子序列。 
此方法首先重置匹配器。然后，它将扫描输入序列以查找该模式的匹配项。不是匹配一部分的字符被直接追加到结果字符串；在结果中匹配内容将被替换字符串替换。替换字符串可能包含到已捕获子序列的引用，如在 appendReplacement 方法中一样。 

在给定正则表达式 dog、输入 ""zzzdogzzzdogzzz"" 和替换字符串 ""cat"" 的情况下，为该表达式针对匹配器调用此方法将产生字符串 ""zzzcatzzzdogzzz""。

调用此方法将更改此匹配器的状态。如果在将来的匹配操作中使用该匹配器，则应该首先重置它。",Matcher,NullPointerException - 如果 replacement 为 null。,
region,,"public Matcher region(int start,int end)","设置此匹配器的区域限制。区域是输入序列的一部分，搜索它可以查找匹配。调用此方法会重置匹配器，然后设置区域，使其从 start 参数指定的索引开始，到 end 参数指定的索引结束。 
某些构造（如定位点）可能因所用的透明度和定位不同（参见 useTransparentBounds 和 useAnchoringBounds），从而在区域的边界上或边界四周的行为也有所不同。从以下版本开始： 
1.5 
",Matcher,IndexOutOfBoundsException - 如果开始点或结束点小于零，并且开始点的长度大于输入序列的长度，结束点的长度大于输入序列的长度，或者开始点大于结束点。,
regionStart,,public int regionStart(),"报告此匹配器区域的开始索引。此匹配器所进行的搜索被限制在 regionStart（包括）和 regionEnd（不包括）中查找匹配。 从以下版本开始： 
1.5 
",Matcher,,
regionEnd,,public int regionEnd(),"报告此匹配器区域的结束索引（不包括）。此匹配器所进行的搜索被限制在 regionStart（包括）和 regionEnd（不包括）中查找匹配。从以下版本开始： 
1.5 ",Matcher,,
hasTransparentBounds,,public boolean hasTransparentBounds(),"查询此匹配器区域边界的透明度。 
如果此匹配器使用透明 边界，则此方法返回 true；如果使用不透明 边界，则返回 false。 

有关透明和不透明边界的描述，请参阅 useTransparentBounds。 

默认情况下，匹配器使用不透明区域边界。从以下版本开始： 
1.5 
",Matcher,,
useTransparentBounds,,public Matcher useTransparentBounds(boolean b),"设置此匹配器区域边界的透明度。 
利用参数 true 调用此方法将设置此匹配器使用透明 边界。如果布尔参数为 false，则使用不透明 边界。 

使用透明边界，此匹配器区域的边界对 lookahead、lookbehind 和边界匹配构造都是透明的。可以使用这些构造查看区域边界的外部，以了解匹配是否正确。 

使用不透明边界，此匹配器区域的边界对 lookahead、lookbehind 和试图查看其外部的边界匹配构造都是不透明的。这些构造无法穿过边界查看，因此不能使用它们匹配区域之外的任何内容。 

默认情况下，匹配器使用不透明边界。从以下版本开始： 
1.5 ",Matcher,,
hasAnchoringBounds,,public boolean hasAnchoringBounds(),"查询此匹配器区域界限的定位。 
如果此匹配器使用定位 界限，则此方法返回 true；否则返回 false。 

有关获取定位界限的描述，请参阅 useAnchoringBounds。 

默认情况下，匹配器使用定位区域边界。从以下版本开始： 
1.5 ",Matcher,,
useAnchoringBounds,,public Matcher useAnchoringBounds(boolean b),"设置匹配器区域界限的定位。 
利用参数 true 调用此方法将设置此匹配器使用定位 界限。如果布尔参数为 false，则使用非定位 界限。 

使用定位界限，此匹配器区域的边界与定位点（如 ^ 和 $）匹配。 

不使用定位界限，此匹配器区域的边界将与定位点（如 ^ 和 $）不匹配。 

默认情况下，匹配器使用定位区域边界。
从以下版本开始： 
1.5",Matcher,,
toString,,public String toString(),"返回匹配器的字符串表示形式。包含可用于调试的信息的 Matcher 字符串表示形式。未指定确切格式。 


覆盖：
类 Object 中的 toString
从以下版本开始： 
1.5 ",Matcher,,
hitEnd,,public boolean hitEnd(),"如果匹配器执行的最后匹配操作中搜索引擎遇到输入结尾，则返回 true。 
此方法返回 true 时，很多输入都可能更改最后搜索的结果。
从以下版本开始： 
1.5 
",Matcher,,
requireEnd,,public boolean requireEnd(),"如果很多输入都可以将正匹配更改为负匹配，则返回 true。 
如果此方法返回 true，并且找到了匹配，则很多输入可能导致匹配丢失。如果此方法返回 false，并且找到了匹配，则很多输入可能更改匹配，但是匹配不会丢失。如果未找到匹配，则 requireEnd 没有意义。
从以下版本开始： 
1.5 ",Matcher,,
start,,int start(),返回匹配的初始索引。 ,MatchResult,IllegalStateException - 如果没有尝试任何匹配或者以前的匹配操作失败,
start,,int start(int group),"返回在匹配期间由给定组捕获的子序列的初始索引。 
捕获组是从左到右的索引，从 1 开始。组零表示整个模式，因此表达式 m.start(0) 等效于 m.start()。",MatchResult,"IllegalStateException - 如果没有尝试任何匹配或者以前的匹配操作失败 
IndexOutOfBoundsException - 如果在给定索引的模式中不存在捕获组",
end,,int end(),返回最后匹配字符之后的偏移量。,MatchResult,IllegalStateException - 如果没有尝试任何匹配或者以前的匹配操作失败,
end,,int end(int group),"返回在匹配期间由给定组所捕获子序列的最后字符之后的偏移量。 
捕获组是从左到右的索引，从 1 开始。组零表示整个模式，因此表达式 m.end(0) 等效于 m.end()。",MatchResult,"IllegalStateException - 如果没有尝试任何匹配或者以前的匹配操作失败 
IndexOutOfBoundsException - 如果在给定索引的模式中不存在捕获组",
group,,String group(),"返回由以前匹配所匹配的输入子序列。 
对于具有输入序列 s 的匹配器 m，表达式 m.group() 和 s.substring(m.start(), m.end()) 是等效的。
注意，某些模式（例如，a*）匹配空字符串。当模式成功匹配输入中的空字符串时，此方法将返回空字符串。",MatchResult,IllegalStateException - 如果没有尝试任何匹配或者以前的匹配操作失败,
group,,String group(int group),"返回在以前匹配操作期间由给定组捕获的输入子序列。 
对于匹配器 m、输入序列 s 和组索引 g，表达式 m.group(g) 和 s.substring(m.start(g), m.end(g)) 是等效的。 

捕获组是从左到右的索引，从 1 开始。组零表示整个模式，因此表达式 m.group(0) 等效于 m.group()。 

如果该匹配成功了，但指定组未能匹配输入序列的任何部分，则返回 null。注意，某些组（例如，(a*)）匹配空字符串。当这些的组成功匹配输入中的空字符串时，此方法将返回空字符串。",MatchResult,"IllegalStateException - 如果没有尝试任何匹配或者以前的匹配操作失败 
IndexOutOfBoundsException - 如果在给定索引的模式中不存在捕获组",
groupCount,,int groupCount(),"返回此匹配结果的模式中的捕获组数。 
根据惯例，零组表示整个模式。它不包括在此计数中。 

任何小于或等于由此方法返回的值的非负整数保证是此匹配器的有效组索引。",MatchResult,,
sin,,public static double sin(double a),"返回角的三角正弦。特殊情况是： 
·如果参数是 NaN 或无穷大，那么结果是 NaN。 
·如果参数是零，那么结果是零，符号与参数符号相同。
计算结果必须在准确结果的 1 ulp 范围内。结果必须具有半单调性。
",Math,,
cos,,public static double cos(double a),"返回角的三角余弦。特殊情况是： 
·如果参数是 NaN 或无穷大，那么结果是 NaN。
计算结果必须在准确结果的 1 ulp 范围内。结果必须具有半单调性。
",Math,,
tan,,public static double tan(double a),"返回角的三角正切。特殊情况是： 
·如果参数是 NaN 或无穷大，那么结果是 NaN。 
·如果参数是零，那么结果是零，符号与参数符号相同。
计算结果必须在准确结果的 1 ulp 范围内。结果必须具有半单调性。
",Math,,
asin,,public static double asin(double a),"返回角的反正弦，范围在 -pi/2 到 pi/2 之间。特殊情况是： 
·如果参数是 NaN 或它的绝对值大于 1，那么结果是 NaN。 
·如果参数是零，那么结果是零，符号与参数符号相同。
计算结果必须在准确结果的 1 ulp 范围内。结果必须具有半单调性。
",Math,,
acos,,public static double acos(double a),"返回角的反余弦，范围在 0.0 到 pi 之间。特殊情况是： 
·如果参数是 NaN 或它的绝对值大于 1，那么结果是 NaN。
计算结果必须在准确结果的 1 ulp 范围内。结果必须具有半单调性。",Math,,
atan,,public static double atan(double a),"返回角的反正切，范围在 -pi/2 到 pi/2 之间。特殊情况是： 
·如果参数是 NaN，那么结果是 NaN。 
·如果参数是零，那么结果是零，符号与参数符号相同。
计算结果必须在准确结果的 1 ulp 范围内。结果必须具有半单调性。",Math,,
toRadians,,public static double toRadians(double angdeg),"将用度数测量的角转换为近似相等的用弧度测量的角。从度数到弧度的转换通常是不精确的。从以下版本开始： 
1.2 
",Math,,
toDegrees,,public static double toDegrees(double angrad),"将用弧度测量的角转换为近似相等的用度数测量的角。从弧度到度数的转换通常是不精确的；用户不 应该期望 cos(toRadians(90.0)) 与 0.0 精确相等。 
从以下版本开始： 
1.2 ",Math,,
exp,,public static double exp(double a),"返回欧拉数 e 的 double 次幂的值。特殊情况是： 
·如果参数是 NaN，那么结果就是 NaN。 
·如果参数是正无穷大，那么结果就是正无穷大。 
·如果参数是负无穷大，那么结果就是正零。
计算结果必须在准确结果的 1 ulp 范围内。结果必须具有半单调性。",Math,,
log,,public static double log(double a),"返回（底数是 e）double 值的自然对数。特殊情况是： 
·如果参数是 NaN 或小于零，那么结果是 NaN。 
·如果参数是正无穷大，那么结果就是正无穷大。 
·如果参数是正零或负零，那么结果是负无穷大。
计算结果必须在准确结果的 1 ulp 范围内。结果必须具有半单调性。 ",Math,,
log10,,public static double log10(double a),"返回 double 值的底数为 10 的对数。特殊情况是： 
如果参数是 NaN 或小于零，那么结果是 NaN。 
·如果参数是正无穷大，那么结果就是正无穷大。 
·如果参数是正零或负零，那么结果是负无穷大。 
·如果参数等于整数 n 的 10 n，那么结果是 n。 
计算结果必须在准确结果的 1 ulp 范围内。结果必须具有半单调性。
从以下版本开始： 
1.5",Math,,
sqrt,,public static double sqrt(double a),"返回正确舍入的 double 值的正平方根。特殊情况是： 
·如果参数是 NaN 或小于零，那么结果是 NaN。 
·如果参数是正无穷大，那么结果就是正无穷大。 
·如果参数是正零或负零，那么结果与参数相同。
否则，结果是最接近该参数值的真实数学平方根的 double 值。",Math,,
cbrt,,public static double cbrt(double a),"返回 double 值的立方根。对于正的有限值 x，cbrt(-x) == -cbrt(x)；也就是说，负值的立方根是该值大小的负立方根。特殊情况是： 
·如果参数是 NaN，那么结果就是 NaN。 
·如果参数是无穷大，那么结果是无穷大，且符号与参数符号相同。 
·如果参数是零，那么结果是零，符号与参数符号相同。 
计算结果必须在准确结果的 1 ulp 范围内。
从以下版本开始： 
1.5 ",Math,,
IEEEremainder,,"public static double IEEEremainder(double f1,double f2)","按照 IEEE 754 标准的规定，对两个参数进行余数运算。余数的算术值等于 f1 - f2 × n，其中 n 是最接近 f1/f2 的商的准确算术值的整数，如果两个整数都同样接近 f1/f2，那么 n 是其中的偶数。如果余数是零，则它的符号与第一个参数的符号相同。特殊情况是： 
·如果两个参数都是 NaN，或者第一个参数是无穷大，或者第二个参数是正零或负零，那么结果是 NaN。 
·如果第一个参数是有限值，第二个参数是无穷大，那么结果与第一个参数相同。",Math,,
ceil,,public static double ceil(double a),"返回最小的（最接近负无穷大）double 值，该值大于或等于参数，并且等于某个整数。特殊情况是： 
·如果参数值已经等于某个整数，那么结果与该参数相同。
·如果参数是 NaN、无穷大、正零或负零，那么结果与参数相同。
·如果参数值小于零，但是大于 -1.0，那么结果是负零。
注意，Math.ceil(x) 的值与 -Math.floor(-x) 的值完全相同。",Math,,
floor,,public static double floor(double a),"返回最大的（最接近正无穷大）double 值，该值小于或等于参数，并且等于某个整数。特殊情况是： 
·如果参数值已经等于某个整数，那么结果与该参数相同。
·如果参数是 NaN、无穷大、正零或负零，那么结果与参数相同。",Math,,
rint,,public static double rint(double a),"返回其值最接近参数并且是整数的 double 值。如果两个整数的 double 值都同样接近，那么结果取偶数。特殊情况是： 
·如果参数值是整数，那么结果就是该参数。 
·如果参数是 NaN 或无穷大或正零或负零，那么结果与参数相同。",Math,,
atan2,,"public static double atan2(double y,double x)","将矩形坐标 (x, y) 转换成极坐标 (r, theta)。该方法通过计算 y/x 的反正切值来计算相 (phase) theta，范围为从 -pi 到 pi。特殊情况是： 
·如果两个参数都是 NaN，那么结果是 NaN。 
·如果第一个参数是正零，第二个参数是正数；或者第一个参数是正的有限值，第二个参数是正的无穷大，那么结果是正零。 
·如果第一个参数是负零，第二个参数是正数；或者第一个参数是负的有限值，第二个参数是正的无穷大，那么结果是负零。 
·如果第一个参数是正零，第二个参数是负数；或者第一个参数是正的有限值，第二个参数是负的无穷大，那么结果是最接近 pi 的 double 值。 
·如果第一个参数是正零，第二个参数是负数；或者第一个参数是负的有限值，第二个参数是负的无穷大，那么结果是最接近 pi 的 double 值。 
·如果第一个参数是正数，第二个参数是正零或负零；或者第一个参数是正的无穷大，第二个参数是有限值，那么结果是最接近 pi/2 的 double 值。 
·如果第一个参数是负数，第二个参数是正零或负零；或者第一个参数是负的无穷大，第二个参数是有限值，那么结果是最接近 -pi/2 的 double 值。 
·如果两个参数都是正的无穷大，那么结果是最接近 pi/4 的 double 值。 
·如果第一个参数是正的无穷大，第二个参数是负的无穷大，那么结果是最接近 3*pi/4 的 double 值。 
·如果第一个参数是负的无穷大，第二个参数是正的无穷大，那么结果是最接近 -pi/4 的 double 值。 
·如果两个参数都是负的无穷大，那么结果是最接近 -3*pi/4 的 double 值。
计算结果必须在准确结果的 2 ulp 范围内。结果必须具有半单调性。
",Math,,
pow,,"public static double pow(double a,double b)","返回第一个参数的第二个参数次幂的值。特殊情况是： 
·如果第二个参数是正零或负零，那么结果是 1.0。 
·如果第二个参数是 1.0，那么结果与第一个参数相同。 
·如果第二个参数是 NaN，那么结果是 NaN。 
·如果第一个参数是 NaN，第二个参数是非零，那么结果是 NaN。 
·如果 
-第一个参数的绝对值大于 1，并且第二个参数是正无穷大，或者 
-第一个参数的绝对值小于 1，并且第二个参数是负无穷大， 
那么结果是正无穷大。 
·如果 
-第一个参数的绝对值大于 1，并且第二个参数是负无穷大，或者 
-第一个参数的绝对值小于 1，并且第二个参数是正无穷大， 
那么结果是正零。 
·如果第一个参数的绝对值等于1，并且第二个参数是无穷大，那么结果是 NaN。 
·如果 
-第一个参数是正零，并且第二个参数大于零，或者 
-第一个参数是正无穷大，并且第二个参数小于零， 
那么结果是正零。 
·如果 
-第一个参数是正零，并且第二个参数小于零，或者 
-第一个参数是正无穷大，并且第二个参数大于零， 
那么结果是正无穷大。 
·如果 
-如果第一个参数是负零，并且第二个参数大于零但不是有限的奇数整数，或者 
-第一个参数是负无穷大，并且第二个参数小于零但不是有限的奇数整数， 
那么结果是正零。 
·如果 
-第一个参数是负零，并且第二个参数是正的有限奇数整数，或者 
-第一个参数是负无穷大，并且第二个参数是负的有限奇数整数， 
那么结果是负零。 
·如果 
-如果第一个参数是负零，并且第二个参数小于零但不是有限的奇数整数，或者 
-第一个参数是负无穷大，并且第二个参数大于零但不是有限的奇数整数， 
那么结果是正无穷大。 
·如果 
-第一个参数是负零，并且第二个参数是负的有限奇数整数，或者 
-第一个参数是负无穷大，并且第二个参数是正的有限奇数整数， 
那么结果是负无穷大。 
·如果第一个参数是小于零的有限值， 
-并且第二个参数是有限的偶数整数，那么结果等于第一个参数的绝对值的第二个参数次幂的结果。 
-如果第二个参数是有限的奇数整数，那么结果等于第一个参数绝对值的第二个参数次幂的结果的负数。 
-如果第二个参数是有限的非整数值，那么结果是 NaN。 
·如果两个参数都是整数，并且结果可以表示为 double 值，那么该结果恰好等于第一个参数的第二个参数次幂的算术结果。",Math,,
round,,public static int round(float a),"返回最接近参数的 int。通过加上 1/2 将该结果舍入为整数，取结果的基数并将其强制转换为 int 类型。换句话说，结果等于以下表达式的值： 

(int)Math.floor(a + 0.5f)特殊情况是： 

·如果参数是 NaN，那么结果是 0。 
·如果结果是负无穷大或任何小于或等于 Integer.MIN_VALUE 的值，那么结果等于 Integer.MIN_VALUE 的值。 
·如果参数是正无穷大或任何大于或等于 Integer.MAX_VALUE 的值，那么结果等于 Integer.MAX_VALUE 的值。",Math,,
round,,public static long round(double a),"返回最接近参数的 long。通过加上 1/2 将该结果舍入为整数，取结果的基数并将其强制转换为 long 类型。换句话说，结果等于以下表达式的值： 

(long)Math.floor(a + 0.5d)特殊情况是： 

·如果参数是 NaN，那么结果是 0。 
·如果结果是负无穷大或任何小于或等于 Long.MIN_VALUE 的值，那么结果等于 Long.MIN_VALUE 的值。 
·如果参数是正无穷大或任何大于或等于 Long.MAX_VALUE 的值，那么结果等于 Long.MAX_VALUE 的值。",Math,,
random,,public static double random(),"返回带正号的 double 值，大于或等于 0.0，小于 1.0。返回值是一个伪随机 (pseudorandomly) 选择的数，在上述范围内（大致）均匀分布。 
第一次调用该方法时，它将创建一个新的伪随机数生成器，其结果与以下表达非常类似 

new java.util.Random之后，新的伪随机数生成器可用于该方法的所有调用，但不能用于其他地方。 
该方法将经过适当的同步，以便能供多个线程正确使用。然而，如果很多线程都需要快速生成伪随机数，则对各线程来说，可以减少对拥有自己的伪随机数生成器的争用。",Math,,
abs,,public static int abs(int a),"返回 int 值的绝对值。如果参数是非负数，则返回该参数。如果参数是负数，则返回该参数的相反数。 
注意，如果参数等于 Integer.MIN_VALUE 的值（即能够表示的最小负 int 值），则结果与该值相同且为负。",Math,,
abs,,public static long abs(long a),"返回 long 值的绝对值。如果参数是非负数，则返回该参数。如果参数是负数，则返回该参数的相反数。 
注意，如果参数等于 Long.MIN_VALUE 的值（即能够表示的最小负 long 值），则结果与该值相同且为负。",Math,,
abs,,public static float abs(float a),"返回 float 值的绝对值。如果参数是非负数，则返回该参数。如果参数是负数，则返回该参数的相反数。特殊情况是： 
·如果参数是正零或负零，那么结果是正零。 
·如果参数是无穷大，那么结果是正无穷大。 
·如果参数是 NaN，那么结果就是 NaN。
换句话说，结果等于以下表达式的值：",Math,,
abs,,public static double abs(double a),"返回 double 值的绝对值。如果参数是非负数，则返回该参数。如果参数是负数，则返回该参数的相反数。特殊情况是： 
如果参数是正零或负零，那么结果是正零。 
如果参数是无穷大，那么结果是正无穷大。 
如果参数是 NaN，那么结果就是 NaN。
换句话说，结果等于以下表达式的值： 
Double.longBitsToDouble((Double.doubleToLongBits(a)<<1)>>>1)",Math,,
max,,"public static int max(int a,int b)",返回两个 int 值中较大的一个。也就是说，结果是更接近 Integer.MAX_VALUE 值的参数。如果参数值相同，则结果是这个相同值。,Math,,
max,,"public static long max(long a,long b)",返回两个 long 值中较大的一个。也就是说，结果是更接近 Long.MAX_VALUE 值的参数。如果参数值相同，则结果是这个相同值。,Math,,
max,,"public static float max(float a,float b)",返回两个 float 值中较大的一个。也就是说，结果是更接近正无穷大的参数。如果参数值相同，则结果是这个相同值。如果两个值都是 NaN，那么结果就是 NaN。与数值比较运算不同，该方法认为负零严格小于正零。如果一个参数是正零，另一个参数是负零，那么结果就是正零。,Math,,
max,,"public static double max(double a,double b)",返回两个 double 值中较大的一个。也就是说，结果是更接近正无穷大的参数。如果参数值相同，则结果是这个相同值。如果两个值都是 NaN，那么结果就是 NaN。与数值比较运算不同，该方法认为负零严格小于正零。如果一个参数是正零，另一个参数是负零，那么结果就是正零。,Math,,
min,,"public static int min(int a,int b)",返回两个 int 值中较小的一个。也就是说，结果是更接近 Integer.MIN_VALUE 值的参数。如果参数值相同，则结果是这个相同值。,Math,,
min,,"public static long min(long a,long b)",返回两个 long 值中较小的一个。也就是说，结果是更接近 Long.MIN_VALUE 值的参数。如果参数值相同，则结果是这个相同值。,Math,,
min,,"public static float min(float a,float b)",返回两个 float 值中较小的一个。也就是说，结果是更接近负无穷大的值。如果参数值相同，则结果是这个相同值。如果两个值都是 NaN，那么结果就是 NaN。与数值比较运算不同，该方法认为负零严格小于正零。如果一个参数是正零，另一个参数是负零，那么结果是负零。,Math,,
min,,"public static double min(double a,double b)",返回两个 double 值中较小的一个。也就是说，结果是更接近负无穷大的值。如果参数值相同，则结果是这个相同值。如果两个值都是 NaN，那么结果就是 NaN。与数值比较运算不同，该方法认为负零严格小于正零。如果一个参数是正零，另一个参数是负零，那么结果是负零。,Math,,
ulp,,public static double ulp(double d),"返回参数的 ulp 大小。double 值的 ulp 是该浮点值与下一个较大 double 值之间的正距离。注意，对于非 NaN x，ulp(-x) == ulp(x)。 
特殊情况是： 

·如果参数是 NaN，那么结果就是 NaN。 
·如果参数是正的或负的无穷大，那么结果是正无穷大。 
·如果参数是正零或负零，那么结果是 Double.MIN_VALUE。 
·如果参数是 ±Double.MAX_VALUE，那么结果等于 2的971次方。",Math,,
ulp,,public static float ulp(float f),"返回参数的 ulp 大小。float 值的 ulp 是该浮点值与下一个较大 float 值之间的正距离。注意，对于非 NaN x，ulp(-x) == ulp(x)。 
特殊情况是： 

·如果参数是 NaN，那么结果就是 NaN。 
·如果参数是正的或负的无穷大，那么结果是正无穷大。 
·如果参数是正零或负零，那么结果是 Float.MIN_VALUE。 
·如果参数是 ±Float.MAX_VALUE，那么结果等于 2的104次方。",Math,,
signum,,public static double signum(double d),"返回参数的符号函数；如果参数是零，则返回零；如果参数大于零，则返回 1.0；如果参数小于零，则返回 -1.0。 
特殊情况是： 

·如果参数是 NaN，那么结果就是 NaN。 
·如果参数是正零或负零，那么结果与参数相同。

从以下版本开始： 
1.5 ",Math,,
signum,,public static float signum(float f),"返回参数的符号函数；如果参数是零，则返回零；如果参数大于零，则返回 1.0；如果参数小于零，则返回 -1.0。 
特殊情况是： 

·如果参数是 NaN，那么结果就是 NaN。 
·如果参数是正零或负零，那么结果与参数相同。

从以下版本开始： 
1.5 ",Math,,
sinh,,public static double sinh(double x),"返回 double 值的双曲线正弦。x 的双曲线正弦的定义是 (ex - e-x)/2，其中 e 是 欧拉数。 
特殊情况是： 

·如果参数是 NaN，那么结果就是 NaN。 
·如果参数是无穷大，那么结果是无穷大，且符号与参数符号相同。 
·如果参数是零，那么结果是零，符号与参数符号相同。 
计算结果必须在准确结果的 2.5 ulp 范围内。

从以下版本开始： 
1.5",Math,,
cosh,,public static double cosh(double x),"返回 double 值的双曲线余弦。x 的双曲线余弦的定义是 (ex + e-x)/2，其中 e 是 欧拉数。 
特殊情况是： 

·如果参数是 NaN，那么结果就是 NaN。 
·如果参数是无穷大，那么结果是正无穷大。 
·如果参数是零，那么结果是 1.0。 
计算结果必须在准确结果的 2.5 ulp 范围内。

从以下版本开始： 
1.5",Math,,
tanh,,public static double tanh(double x),"返回 double 值的双曲线余弦。x 的双曲线正切的定义是 (ex - e-x)/(ex + e-x)，即 sinh(x)/cosh(x)。注意，准确的双曲正切绝对值始终小于 1。 
特殊情况是： 

如果参数是 NaN，那么结果就是 NaN。 
如果参数是零，那么结果是零，符号与参数符号相同。 
如果参数是正无穷大，那么结果是 +1.0。 
如果参数是负无穷大，那么结果是 -1.0。 
计算结果必须在准确结果的 2.5 ulp 范围内。对于任何有限的输入，其 tanh 结果的绝对值必定小于或等于 1。注意，一旦准确的双曲正切结果在极限值 ±1 的 1/2 ulp 内，则应该返回有正确符号的 ±1.0。

从以下版本开始： 
1.5",Math,,
hypot,,"public static double hypot(double x, double y)","返回 sqrt(x2 +y2)，没有中间溢出或下溢。 
特殊情况是： 

·如果任何一个参数是无穷大，那么结果就是正无穷大。 
·如果任何一个参数是 NaN 且都不是无穷大，那么结果是 NaN。 
计算结果必须在准确结果的 1 ulp 范围内。如果一个参数保存常量，那么在另一个参数中，结果必须具有半单调性。

从以下版本开始： 
1.5",Math,,
expm1,,public static double expm1(double x),"返回 ex -1。注意，对于接近零的 x 值，expm1(x) + 1 的准确和比 exp(x) 更接近 ex 的真实结果。 
特殊情况是： 

如果参数是 NaN，那么结果就是 NaN。 
如果参数是正无穷大，那么结果就是正无穷大。 
如果参数是负无穷大，那么结果是 -1.0。 
如果参数是零，那么结果是零，符号与参数符号相同。 
计算结果必须在准确结果的 1 ulp 范围内。结果必须具有半单调性。对于任何有限的输入，expm1 的结果一定大于或等于 -1.0。注意，一旦 ex - 1 的准确结果在极限值 -1 的 1/2 ulp 范围内，则应该返回 -1.0。",Math,,
log1p,,public static double log1p(double x),"返回参数与 1 的和的自然对数。注意，对于小的 x 值，log1p(x) 的结果比 log(1.0+x) 的浮点计算结果更接近 ln(1 + x) 的真实结果。 
特殊情况是： 

·如果参数是 NaN 或小于 -1，那么结果是 NaN。 
·如果参数是正无穷大，那么结果就是正无穷大。 
·如果参数是负数，那么结果是负无穷大。 
·如果参数是零，那么结果是零，符号与参数符号相同。 
计算结果必须在准确结果的 1 ulp 范围内。结果必须具有半单调性。",Math,,
getDeclaringClass,,Class getDeclaringClass(),返回表示声明由此 Member 表示的成员或构造方法的类或接口的 Class 对象。 ,Member,,
getName,,String getName(),返回此 Member 表示的基础成员或构造方法的简单名称。 ,Member,,
getModifiers,,int getModifiers(),作为整数返回由此 Member 所表示的成员或构造方法的 Java 语言修饰符。应该使用 Modifier 类解码整数中的修饰符。 ,Member,,
isSynthetic,,boolean isSynthetic(),"如果此成员是编译器引入的，则返回 true；否则，返回 false。 
从以下版本开始： 
1.5 ",Member,,
publish,,public void publish(LogRecord record),"将 LogRecord 存储在内部缓冲区。 
如果有 Filter，则调用其 isLoggable 方法以检查给定的日志记录是否为 loggable。如果不是，则返回它。否则，将给定的记录复制到内部循环缓冲区。然后将该记录的级别属性与 pushLevel 进行比较。如果给定的级别大于或等于 pushLevel，则调用 push 将所有已缓冲的记录写入到目标输出 Handler 中。",MemoryHandler,,
push,,public void push(),"将所有已缓冲的输出 push 到目标 Handler 中。 
然后清空缓冲区。",MemoryHandler,,
flush,Handler,public void flush(),"导致目标 Handler 上的刷新。 
注意，不要将 MemoryHandler 缓冲区的当前内容全部写出。这样会要求进行 ""push"" 操作。",MemoryHandler,,
close,Handler,public void close(),关闭 Handler，并释放所有相关的资源。这也将关闭目标 Handler。,MemoryHandler,"SecurityException - 如果存在安全管理器并且调用方不具有 LoggingPermission(""control"")。",
setPushLevel,,public void setPushLevel(Level newLevel),设置 pushLevel。将 LogRecord 复制到内部缓冲区后，如果它的级别大于或等于 pushLevel，则调用 push。,MemoryHandler,"SecurityException - 如果存在安全管理器并且调用方不具有 LoggingPermission(""control"")。",
getPushLevel,,public Level getPushLevel(),获得 pushLevel。 ,MemoryHandler,,
isLoggable,,public boolean isLoggable(LogRecord record),"检查此 Handler 是否实际将给定的 LogRecord 记录到其内部缓冲区。 
此方法检查 LogRecord 是否有合适的级别，以及是否满足任何的 Filter。但是并不检查 LogRecord 是否导致 ""push"" 缓冲区的内容。如果 LogRecord 为 Null，则该方法返回 false。 

覆盖：
类 Handler 中的 isLoggable",MemoryHandler,,
getName,,String getName(),返回表示此内存管理器的名称。 ,MemoryManagerMXBean,,
isValid,,boolean isValid(),测试此内存管理器在 Java 虚拟机中是否有效。一旦 Java 虚拟机将内存管理器从内存系统删除，该内存管理器就变为无效。,MemoryManagerMXBean,,
getMemoryPoolNames,,String[] getMemoryPoolNames(),返回此内存管理器管理的内存池名称。 ,MemoryManagerMXBean,,
getObjectPendingFinalizationCount,,int getObjectPendingFinalizationCount(),返回其终止被挂起的对象的近似数目。 ,MemoryMXBean,,
