名称,说明,库,声明,NOTE
installuserfont,安装未嵌入BGI系统的字体文件(CHR),graphics.h,int far installuserfont(char far *name);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
int86,通用8086软中断接口,,"int int86(int intr_num, union REGS *inregs, union REGS *outregs);",
int86x,通用8086软中断接口,,"int int86x(int intr_num, union REGS *insegs, union REGS *outregs, struct SREGS *segregs);",
intdos,通用DOS接口,dos.h,"int intdos(union REGS *inregs, union REGS *outregs);",dos.h 里面包含了很多BIOS和DOS调用函数
intdosx,通用DOS中断接口,dos.h,"int intdosx(union REGS *inregs, union REGS *outregs, struct SREGS *segregs);",dos.h 里面包含了很多BIOS和DOS调用函数
intr,改变软中断接口,,"void intr(int intr_num, struct REGPACK *preg);",
ioctl,控制I/O设备,sys/procfs.h,"int ioctl(int handle, int cmd[,int *argdx, int argcx]); ",头文件
isalnum,该函数检查所传的字符是否是字母和数字,ctype.h,int isalnum(int c),C 标准库的 ctype.h 头文件提供了一些函数，可用于测试和映射字符。这些函数接受 int 作为参数，它的值必须是 EOF 或表示为一个无符号字符。如果参数 c 满足描述的条件，则这些函数返回非零（true）。如果参数 c 不满足描述的条件，则这些函数返回零。
isalpha,该函数检查所传的字符是否是字母,ctype.h,int isalpha(int c),C 标准库的 ctype.h 头文件提供了一些函数，可用于测试和映射字符。这些函数接受 int 作为参数，它的值必须是 EOF 或表示为一个无符号字符。如果参数 c 满足描述的条件，则这些函数返回非零（true）。如果参数 c 不满足描述的条件，则这些函数返回零。
iscntrl,该函数检查所传的字符是否是控制字符,ctype.h,int iscntrl(int c),C 标准库的 ctype.h 头文件提供了一些函数，可用于测试和映射字符。这些函数接受 int 作为参数，它的值必须是 EOF 或表示为一个无符号字符。如果参数 c 满足描述的条件，则这些函数返回非零（true）。如果参数 c 不满足描述的条件，则这些函数返回零。
isdigit,该函数检查所传的字符是否是十进制数字,ctype.h,int isdigit(int c),C 标准库的 ctype.h 头文件提供了一些函数，可用于测试和映射字符。这些函数接受 int 作为参数，它的值必须是 EOF 或表示为一个无符号字符。如果参数 c 满足描述的条件，则这些函数返回非零（true）。如果参数 c 不满足描述的条件，则这些函数返回零。
isgraph,该函数检查所传的字符是否有图形表示法,ctype.h,int isgraph(int c),C 标准库的 ctype.h 头文件提供了一些函数，可用于测试和映射字符。这些函数接受 int 作为参数，它的值必须是 EOF 或表示为一个无符号字符。如果参数 c 满足描述的条件，则这些函数返回非零（true）。如果参数 c 不满足描述的条件，则这些函数返回零。
islower,该函数检查所传的字符是否是小写字母,ctype.h,int islower(int c),C 标准库的 ctype.h 头文件提供了一些函数，可用于测试和映射字符。这些函数接受 int 作为参数，它的值必须是 EOF 或表示为一个无符号字符。如果参数 c 满足描述的条件，则这些函数返回非零（true）。如果参数 c 不满足描述的条件，则这些函数返回零。
isprint,该函数检查所传的字符是否是可打印的,ctype.h,int isprint(int c),C 标准库的 ctype.h 头文件提供了一些函数，可用于测试和映射字符。这些函数接受 int 作为参数，它的值必须是 EOF 或表示为一个无符号字符。如果参数 c 满足描述的条件，则这些函数返回非零（true）。如果参数 c 不满足描述的条件，则这些函数返回零。
ispunct,该函数检查所传的字符是否是标点符号字符,ctype.h,int ispunct(int c),C 标准库的 ctype.h 头文件提供了一些函数，可用于测试和映射字符。这些函数接受 int 作为参数，它的值必须是 EOF 或表示为一个无符号字符。如果参数 c 满足描述的条件，则这些函数返回非零（true）。如果参数 c 不满足描述的条件，则这些函数返回零。
isspace,该函数检查所传的字符是否是空白字符,ctype.h,int isspace(int c),C 标准库的 ctype.h 头文件提供了一些函数，可用于测试和映射字符。这些函数接受 int 作为参数，它的值必须是 EOF 或表示为一个无符号字符。如果参数 c 满足描述的条件，则这些函数返回非零（true）。如果参数 c 不满足描述的条件，则这些函数返回零。
isupper,该函数检查所传的字符是否是大写字母,ctype.h,int isupper(int c),C 标准库的 ctype.h 头文件提供了一些函数，可用于测试和映射字符。这些函数接受 int 作为参数，它的值必须是 EOF 或表示为一个无符号字符。如果参数 c 满足描述的条件，则这些函数返回非零（true）。如果参数 c 不满足描述的条件，则这些函数返回零。
isxdigit,该函数检查所传的字符是否是十六进制数字,ctype.h,int isxdigit(int c),C 标准库的 ctype.h 头文件提供了一些函数，可用于测试和映射字符。这些函数接受 int 作为参数，它的值必须是 EOF 或表示为一个无符号字符。如果参数 c 满足描述的条件，则这些函数返回非零（true）。如果参数 c 不满足描述的条件，则这些函数返回零。
isatty,检查设备类型,ctype.h,int isatty(int handle);,C 标准库的 ctype.h 头文件提供了一些函数，可用于测试和映射字符。这些函数接受 int 作为参数，它的值必须是 EOF 或表示为一个无符号字符。如果参数 c 满足描述的条件，则这些函数返回非零（true）。如果参数 c 不满足描述的条件，则这些函数返回零。
itoa,把一整数转换为字符串,stdlib.h,"char *itoa(int value, char *string, int radix);",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
kbhit,检查当前按下的键,conio.h,int kbhit(void);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
keep,退出并继续驻留,dos.h,"void keep(int status, int size);",dos.h 里面包含了很多BIOS和DOS调用函数
labs,取长整型绝对值,stdlib.h,long labs(long n);,stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
ldexp,计算value*2的幂,math.h,"double ldexp(double value, int exp);",C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
ldiv,"两个长整型数相除, 返回商和余数",stdlib.h,"ldiv_t ldiv(long lnumer, long ldenom);",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
lfind,执行线性搜索,stdlib.h,"void *lfind(void *key, void *base, int *nelem, int width, int (*fcmp)());",
line,在指定两点间画一直线,graphics.h,"void far line(int x0, int y0, int x1, int y1);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
linerel,从当前位置点(CP)到与CP有一给定相对距离的点画一直线,graphics.h,"void far linerel(int dx, int dy);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
localtime,把日期和时间转变为结构,time.h,struct tm *localtime(long *clock);,C 标准库的 time.h 头文件定义了四个变量类型、两个宏和各种操作日期和时间的函数。
lock,设置文件共享锁,,"int lock(int handle, long offset, long length);",
log,对数函数ln(x),math.h,double log(double x);,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
log10,对数函数log,math.h,double log10(double x);,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
longjump,执行非局部转移,setjmp.h,"void longjump(jmp_buf env, int val);",C 标准库的 setjmp.h 头文件定义了宏 setjmp()、函数 longjmp() 和变量类型 jmp_buf，该变量类型会绕过正常的函数调用和返回规则。
lowvideo,选择低亮度字符,conio.h,void lowvideo(void);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
lrotl,将无符号长整型数向左循环移位,stdlib.h,"unsigned long lrotl(unsigned long lvalue, int count);",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
_lrotl,将无符号长整型数向左循环移位,stdlib.h,"unsigned long _lrotl(unsigned long lvalue, int count);",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
lsearch,线性搜索,stdlib.h,"void *lsearch(const void *key, void *base, size_t *nelem, size_t width, int (*fcmp)(const void *, const void *)); ",
lseek,移动文件读/写指针,sys/types.h/unistd.h,"long lseek(int handle, long offset, int fromwhere);",头文件
main,"主函数, 每一C 程序都必须有一main()函数, 可以根据自己的爱好把它放在程序的某个地方. 有些程序员把它放在最前面, 而另一些程序员把它放在最后面, 无论放在哪个地方, 都是适合的。",/,main(),
malloc,内存分配函数,alloc.h/stdlib.h,void *malloc(unsigned size);,C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
matherr,用户可修改的数学错误处理程序,math.h,int matherr(struct exception *e);,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
mblen,返回参数 str 所指向的多字节字符的长度,stdlib.h,"int mblen(const char *str, size_t n)",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
mbstowcs,把参数 str 所指向的多字节字符的字符串转换为参数 pwcs 所指向的数组,stdlib.h,"size_t mbstowcs(schar_t *pwcs, const char *str, size_t n)",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
mbtowc,检查参数 str 所指向的多字节字符,stdlib.h,"int mbtowc(whcar_t *pwc, const char *str, size_t n)",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
memccpy,从源source中拷贝n个字节到目标destin中,string.h/men.h,"void *memccpy(void *destin, void *source, unsigned char ch,",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
memchr,在数组的前n个字节中搜索字符,string.h/men.h,"void *memchr(void *s, char ch, unsigned n);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
memcpy,从源source中拷贝n个字节到目标destin中,string.h/men.h,"void *memcpy(void *destin, void *source, unsigned n);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
memicmp,"比较两个串s1和s2的前n个字节, 忽略大小写",string.h/men.h,"int memicmp(void *s1, void *s2, unsigned n);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
memmove,移动一块字节,string.h/men.h,"void *memmove(void *destin, void *source, unsigned n);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
memset,"设置s中的所有字节为ch, s数组的大小由n给定",string.h/men.h,"void *memset(void *s, char ch, unsigned n);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
MK_FP,设置一个远指针,dos.h,"void far *MK_FP(unsigned seg, unsigned off);",dos.h 里面包含了很多BIOS和DOS调用函数
mkdir,建立一个目录,dir.h,int mkdir(char *pathname);,dir.h 是linux系统上的头文件
mktemp,建立唯一的文件名,dir.h,char *mktemp(char *template);,dir.h 是linux系统上的头文件
mktime,把 timeptr 所指向的结构转换为一个依据本地时区的 time_t 值,time.h,time_t mktime(struct tm *timeptr),C 标准库的 time.h 头文件定义了四个变量类型、两个宏和各种操作日期和时间的函数。
modf,把数分为指数和尾数,math.h,"double modf(double value, double *iptr);",C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
movedata,拷贝字节,mem.h,"void movedata(int segsrc, int offsrc, int segdest, int offdest, unsigned numbytes); ",mem.h 这个库函数中的函数主要是针对字符串进行的
movemem,移动一块字节,mem.h,"void movemem(void *source, void *destin, unsigned len);",mem.h 这个库函数中的函数主要是针对字符串进行的
moverel,将当前位置(CP)移动一相对距离,graphics.h,"void far moverel(int dx, int dy);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
movetext,将屏幕文本从一个矩形区域拷贝到另一个矩形区域,,"int movetext(int left, int top, int right, int bottom, int newleft, int newtop);",
moveto,"将CP移到(x, y)",graphics.h,"void far moveto(int x, int y);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
normvideo,选择正常亮度字符,conio.h,void normvideo(void);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
nosound,关闭PC扬声器,/,void nosound(void);,
open,打开一个文件用于读或写,fcntl.h,"int open(char *pathname, int access[, int permiss]);",fcntl.h 用来避免一些系统安全问题。
outport,输出整数到硬件端口中,dos.h,"void outport(int port, int value);",dos.h 里面包含了很多BIOS和DOS调用函数
outportb,输出字节到硬件端口中,dos.h,"void outportb(int port, char byte);",dos.h 里面包含了很多BIOS和DOS调用函数
outtext,在视区显示一个字符串,graphics.h,void far outtext(char far *textstring);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
outtextxy,在指定位置显示一字符串,graphics.h,"void far outtextxy(int x, int y, char *textstring);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
parsfnm,分析文件名,dos.h,"char *parsfnm (char *cmdline, struct fcb *fcbptr, int option);",dos.h 里面包含了很多BIOS和DOS调用函数
peek,检查存储单元,dos.h,"int peek(int segment, unsigned offset);",dos.h 里面包含了很多BIOS和DOS调用函数
peekb,检查存储单元,dos.h,"char peekb (int segment, unsigned offset);",dos.h 里面包含了很多BIOS和DOS调用函数
perror,系统错误信息,stdio.h,void perror(char *string);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
pieslice,绘制并填充一个扇形,graphics.h,"void far pieslice(int x, int stanle, int endangle, int radius);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
poke,存值到一个给定存储单元,dos.h,"void poke(int segment, int offset, int value);",dos.h 里面包含了很多BIOS和DOS调用函数
pokeb,存值到一个给定存储单元,dos.h,"void pokeb(int segment, int offset, char value);",dos.h 里面包含了很多BIOS和DOS调用函数
poly,根据参数产生一个多项式,math.h,"double poly(double x, int n, double c[]);",math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
pow,指数函数(x的y次方),math.h,"double pow(double x, double y);",math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
pow10,指数函数(10的p次方),math.h,double pow10(int p);,math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
printf,产生格式化输出的函数,stdio.h,"int printf(char *format[,argument,...]);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
putc,输出一字符到指定流中,stdio.h,"int putc(int ch, FILE *stream);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
putch,输出字符到控制台,conio.h,int putch(int ch);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
putchar,在stdout上输出字符,stdio.h,int putchar(int ch);,stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
putenv,把字符串加到当前环境中,stdlib.h,int putenv(char *envvar);,C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
putimage,在屏幕上输出一个位图,graphics.h,"void far putimage(int x, int y, void far *bitmap, int op);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
putpixel,在指定位置画一像素,graphics.h,"void far putpixel (int x, int y, int pixelcolor);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
puts,送一字符串到流中,stdio.h,int puts(char *string);,stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
puttext,将文本从存储区拷贝到屏幕,conio.h,"int puttext(int left, int top, int right, int bottom, void *source);",conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
putw,把一字符或字送到流中,,"int putw(int w, FILE *stream);",
qsort,使用快速排序例程进行排序,stdlib.h,"void qsort(void *base, int nelem, int width, int (*fcmp)());",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
raise,向正在执行的程序发送一个信号,signal.h,int raise(int sig);,signal.h 头文件定义了一个变量类型 sig_atomic_t、两个函数调用和一些宏来处理程序执行期间报告的不同信号。
rand,随机数发生器,stdlib.h,void rand(void);,C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
randbrd,随机块读,dos.h,"int randbrd(struct fcb *fcbptr, int reccnt);",dos.h 里面包含了很多BIOS和DOS调用函数
randbwr,随机块写,dos.h,"int randbwr(struct fcp *fcbptr, int reccnt);",dos.h 里面包含了很多BIOS和DOS调用函数
random,随机数发生器,stdlib.h,int random(int num);,C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
read,从文件中读,unistd.h,"int read(int handle, void *buf, int nbyte);",unistd.h 是 C 和 C++ 程序设计语言中提供对 POSIX 操作系统 API 的访问功能的头文件的名称。
realloc,重新分配主存,alloc.h/stdlib.h,"void *realloc(void *ptr, unsigned newsize);",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
rectangle,画一个矩形,graphics.h,"void far rectangle(int left, int top, int right, int bottom);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
registerbgidriver,登录已连接进来的图形驱动程序代码,graphics.h,int registerbgidriver(void(*driver)(void));,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
remove,删除一个文件,stdio.h,int remove(char *filename);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
rename,重命名文件,stdio.h,"int rename(char *oldname, char *newname);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
restorecrtmode,将屏幕模式恢复为先前的imitgraph设置,graphics.h,void far restorecrtmode(void);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
rewind,将文件指针重新指向一个流的开头,stdio.h,int rewind(FILE *stream);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
rmdir,删除DOS文件目录,unistd.h,int rmdir(char *stream);,unistd.h 是 C 和 C++ 程序设计语言中提供对 POSIX 操作系统 API 的访问功能的头文件的名称。
sbrk,改变数据段空间位置,alloc.h,char *sbrk(int incr);,"alloc.h 含的内容 同编译器有关, 如果调用, 动态分配函数. "
scanf,执行格式化输入,stdio.h,"int scanf(char *format[,argument,...]);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
searchpath,搜索DOS路径,dir.h,char *searchpath(char *filename);,dir.h 是linux系统上的头文件
sector,画并填充椭圆扇区,graphics.h,"void far sector(int x, int y, int stangle, int endangle);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
segread,读段寄存器值,dos.h,void segread(struct SREGS *segtbl);,dos.h 里面包含了很多BIOS和DOS调用函数
setactivepage,设置图形输出活动页,graphics.h,void far setactivepage(int pagenum);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
setallpallette,按指定方式改变所有的调色板颜色,graphics.h,"void far setallpallette(struct palette, far *pallette);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
setaspectratio,设置图形纵横比,graphics.h,"void far setaspectratio(int xasp, int yasp);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
setbkcolor,用调色板设置当前背景颜色,graphics.h,void far setbkcolor(int color);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
setblock,修改先前已分配的DOS存储段大小,dos.h,"int setblock(int seg, int newsize);",dos.h 里面包含了很多BIOS和DOS调用函数
setbuf,把缓冲区与流相联,stdio.h,"void setbuf(FILE *steam, char *buf);",stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
setcbrk,设置Control-break,,int setcbrk(int value);,
setcolor,设置当前画线颜色,graphics.h,void far setcolor(int color);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
setdate,设置DOS日期,dos.h,void setdate(struct date *dateblk);,dos.h 里面包含了很多BIOS和DOS调用函数
setdisk,设置当前磁盘驱动器,dir.h,int setdisk(int drive);,dir.h 是linux系统上的头文件
setdta,设置磁盘传输区地址,,void setdta(char far *dta);,
setfillpattern,选择用户定义的填充模式,graphics.h,"void far setfillpattern(char far *upattern, int color);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
setfillstyle,设置填充模式和颜色,graphics.h,"void far setfillstyle(int pattern, int color);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
setftime,设置文件日期和时间,,"int setftime(int handle, struct ftime *ftimep);",
setgraphbufsize,改变内部图形缓冲区的大小,graphics.h,unsigned far setgraphbufsize(unsigned bufsize);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
setgraphmode,将系统设置成图形模式且清屏,graphics.h,void far setgraphmode(int mode);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
setjmp,非局部转移,setjmp.h,int setjmp(jmp_buf env); ,C 标准库的 setjmp.h 头文件定义了宏 setjmp()、函数 longjmp() 和变量类型 jmp_buf，该变量类型会绕过正常的函数调用和返回规则。
setlinestyle,设置当前画线宽度和类型,graphics.h,"void far setlinestyle(int linestype, unsigned upattern);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
setmem,存值到存储区,mem.h,"void setmem(void *addr, int len, char value);",mem.h 这个库函数中的函数主要是针对字符串进行的
setmode,设置打开文件方式,,"int setmode(int handle, unsigned mode);",
setpalette,改变调色板的颜色,graphics.h,"void far setpalette(int index, int actural_color);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
setrgbpalette,定义IBM8514图形卡的颜色,graphics.h,"void far setrgbpalette(int colornum, int red, int green, int blue);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
settextjustify,为图形函数设置文本的对齐方式,graphics.h,"void far settextjustify(int horiz, int vert);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
settextstyle,为图形输出设置当前的文本属性,graphics.h,"void far settextstyle (int font, int direction, char size);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
settime,设置系统时间,dos.h,void settime(struct time *timep);,dos.h 里面包含了很多BIOS和DOS调用函数
setusercharsize,为矢量字体改变字符宽度和高度,graphics.h,"void far setusercharsize(int multx, int dirx, int multy, int diry);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
setvbuf,把缓冲区与流相关,stdio.h,"int setvbuf(FILE *stream, char *buf, int type, unsigned size);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
setvect,设置中断矢量入口,,"void setvect(int intr_num, void interrupt(*isr)());",
setverify,设置验证状态,,void setverify(int value);,
setviewport,为图形输出设置当前视口,graphics.h," void far setviewport(int left, int top, int right, int bottom, int clipflag);",graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
setvisualpage,设置可见图形页号,graphics.h,void far setvisualpage(int pagenum);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
setwritemode,设置图形方式下画线的输出模式,graphics.h,void far setwritemode(int mode);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
signal,设置某一信号的对应动作,signal.h,"int signal(int sig, sigfun fname);",C 标准库的 signal.h 头文件定义了一个变量类型 sig_atomic_t、两个函数调用和一些宏来处理程序执行期间报告的不同信号。
sin,正弦函数,math.h,double sin(double x);,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
sinh,双曲正弦函数,math.h,double sinh(double x);,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
sleep,执行挂起一段时间,dos.h,unsigned sleep(unsigned seconds);,dos.h 里面包含了很多BIOS和DOS调用函数
sopen ,打开一共享文件,,"int sopen(char *pathname, int access, int shflag, int permiss);",
sound,以指定频率打开PC扬声器,/,void sound(unsigned frequency);,
spawnl,创建并运行子程序,process.h,"int spawnl(int mode, char *pathname, char *arg0, arg1, ... argn, NULL);",process.h 是包含用于和宏指令的作用声明和过程一起使用的C标头文件
spawnle,创建并运行子程序,process.h,"int spawnle(int mode, char *pathname, char *arg0, arg1,..., argn, NULL);",process.h 是包含用于和宏指令的作用声明和过程一起使用的C标头文件
sprintf,送格式化输出到字符串中,stdio.h,"int sprintf(char *string, char *farmat [,argument,...]);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
sqrt,计算平方根,math.h,double sqrt(double x);,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
srand,初始化随机数发生器,stdlib.h,void srand(unsigned seed);,C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
sscanf,执行从字符串中的格式化输入,stdio.h,"int sscanf(char *string, char *format[,argument,...]);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
stat,读取打开文件信息,,"int stat(char *pathname, struct stat *buff);",
_status87,取浮点状态,float.h,unsigned int _status87(void);,C 标准库的 float.h 头文件包含了一组与浮点值相关的依赖于平台的常量。这些常量是由 ANSI C 提出的，这让程序更具有可移植性
stime,设置时间,time.h,int stime(long *tp);,C 标准库的 time.h 头文件定义了四个变量类型、两个宏和各种操作日期和时间的函数。
stpcpy,拷贝一个字符串到另一个,string.h,"char *stpcpy(char *destin, char *source);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strcat,字符串拼接函数,string.h,"char *strcat(char *destin, char *source);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strchr,在一个串中查找给定字符的第一个匹配之处,string.h,"char *strchr(char *str, char c);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strcmp,字符串比较,string.h,"int strcmp(char *str1, char *str2);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strcmpi,"将一个串与另一个比较, 不管大小写",string.h,"int strcmpi(char *str1, char *str2);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strcpy,字符串拷贝,string.h,"char *strcpy(char *str1, char *str2);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strcspn,在串中查找第一个给定字符集内容的段,string.h,"int strcspn(char *str1, char *str2);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strdup,将串拷贝到新建的位置处,string.h,char *strdup(char *str);,C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strerror,返回指向错误信息字符串的指针,errno.h,char *strerror(int errnum);,C 标准库的 errno.h 头文件定义了整数变量 errno，它是通过系统调用设置的，在错误事件中的某些库函数表明了什么发生了错误。该宏扩展为类型为 int 的可更改的左值，因此它可以被一个程序读取和修改。在程序启动时，errno 设置为零，C 标准库中的特定函数修改它的值为一些非零值以表示某些类型的错误。您也可以在适当的时候修改它的值或重置为零。errno.h 头文件也顶了以一系列表示不同错误代码的宏，这些宏应扩展为类型为 int 的整数常量表达式。
strftime,根据 format 中定义的格式化规则，格式化结构 timeptr 表示的时间，并把它存储在 str 中,time.h,"size_t strftime(char *str, size_t maxsize, const char *format, const struct tm *timeptr)",C 标准库的 time.h 头文件定义了四个变量类型、两个宏和各种操作日期和时间的函数。
stricmp,以大小写不敏感方式比较两个串,string.h,"int stricmp(char *str1, char *str2);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strncmp,字符串比较,string.h,"int strncmp(char *str1, char *str2, int maxlen);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strncmpi,"将一个串中的一部分与另一个串比较, 不管大小写",string.h,"int strncmpi(char *str1, char *str2, unsigned maxlen);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strncpy,字符串拷贝,string.h,"char *strncpy(char *destin, char *source, int maxlen);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
